OBJECTID,COMMENTS,LENGTH_NM,AKCreationDate,AKDate,CreationDate,Creator,EditDate,Editor,Herring_Stock,ManagementArea,GlobalID,Photos,Year,Vessel_Mapped,Shape__Length,longitude,latitude
508,,0.4391224596420706,1585816736000,04/02/2020,1585845536000,aaron.dupuis_adfg,1585845536000,aaron.dupuis_adfg,Sitka_Sound,Sitka,86f5ca03-17a6-4b8a-8d43-c049957a58b1,1,2020,0,0.009691848146484144,-135.371197823,57.056916388
509,,0.05920748828599914,1585816781000,04/02/2020,1585845581000,aaron.dupuis_adfg,1585845581000,aaron.dupuis_adfg,Sitka_Sound,Sitka,900a9df8-565e-401e-96d0-eadac8f1d3df,0,2020,0,0.0009855972074220617,-135.380089491,57.059447655
510,,0.060645534562624955,1585816854000,04/02/2020,1585845654000,aaron.dupuis_adfg,1585845654000,aaron.dupuis_adfg,Sitka_Sound,Sitka,96b8f49c-8476-4f19-9e68-ffbacef94276,1,2020,0,0.0010104228963431253,-135.380981445,57.048351241
511,,0.6876944028081352,1585816955000,04/02/2020,1585845755000,aaron.dupuis_adfg,1585845755000,aaron.dupuis_adfg,Sitka_Sound,Sitka,4fd777c4-94de-46da-856a-63f1e68c4f13,1,2020,0,0.017560891427379988,-135.353856836,57.061869619
512,,0.15906135238374383,1585816998000,04/02/2020,1585845798000,aaron.dupuis_adfg,1585845798000,aaron.dupuis_adfg,Sitka_Sound,Sitka,77bca5d6-56e4-49f7-bc69-bf70184ca5a0,0,2020,0,0.003441715503500155,-135.369676447,57.0723012130001
513,,0.150267203227899,1585817339000,04/02/2020,1585846139000,aaron.dupuis_adfg,1585846139000,aaron.dupuis_adfg,Sitka_Sound,Sitka,ac1eb32e-bc6e-4f81-907a-022e59e5cf77,0,2020,0,0.003329213769042129,-135.455365515,57.1708902730001
514,,0.05476843515979379,1585817351000,04/02/2020,1585846151000,aaron.dupuis_adfg,1585846151000,aaron.dupuis_adfg,Sitka_Sound,Sitka,acf1d069-1cfe-4270-9450-e20c89730dbe,0,2020,0,0.0013987247539376283,-135.463563993,57.1685521810001
515,,0.026251374517415767,1585817389000,04/02/2020,1585846189000,aaron.dupuis_adfg,1585846189000,aaron.dupuis_adfg,Sitka_Sound,Sitka,a0a07b74-1ac7-4af1-bb30-2f05082902c6,1,2020,0,0.0007720908921593186,-135.465506984,57.170265036
516,,0.27704336313350525,1585817450000,04/02/2020,1585846250000,aaron.dupuis_adfg,1585846250000,aaron.dupuis_adfg,Sitka_Sound,Sitka,153d8a7e-7df4-4ebb-acb5-ac04bfc4191f,0,2020,0,0.004959854715261849,-135.477249627,57.172413615
517,,0.07222326526842617,1585817477000,04/02/2020,1585846277000,aaron.dupuis_adfg,1585846277000,aaron.dupuis_adfg,Sitka_Sound,Sitka,29bb35bf-7703-4dc0-ad93-2014c59c2829,0,2020,0,0.0012504466704890234,-135.482987586,57.1663010330001
518,,0.1808567495262878,1585817537000,04/02/2020,1585846337000,aaron.dupuis_adfg,1585846337000,aaron.dupuis_adfg,Sitka_Sound,Sitka,382f84c3-8781-48be-b0ab-5a7c362f785b,1,2020,0,0.00460968555553389,-135.485318532,57.1651630110001
519,,0.07245698075802258,1585817558000,04/02/2020,1585846358000,aaron.dupuis_adfg,1585846358000,aaron.dupuis_adfg,Sitka_Sound,Sitka,199081e2-ad93-4664-b621-e0c2166bdfee,0,2020,0,0.0013742027580789869,-135.490687499,57.1606982010001
520,,0.23163902356540292,1585817593000,04/02/2020,1585846393000,aaron.dupuis_adfg,1585846393000,aaron.dupuis_adfg,Sitka_Sound,Sitka,3192379b-b425-4506-8d53-c2756e3cf77d,0,2020,0,0.005615553284103677,-135.493976786,57.1578786490001
